Designator,Mid X,Mid Y,Layer,Rotation
C1,25.91,68.07,Top,0.0
C2,30.99,68.07,Top,180.0
C3,56.64,103.12,Top,270.0
C4,59.69,106.81,Top,0.0
C5,31.12,52.07,Top,180.0
C6,28.58,45.09,Top,90.0
C7,27.94,47.63,Top,90.0
C8,27.94,50.16,Top,90.0
C9,28.45,68.07,Top,0.0
C10,25.91,65.79,Top,0.0
C11,25.91,63.75,Top,0.0
C12,57.91,92.71,Top,0.0
C13,23.11,91.57,Top,0.0
D2, 3.81,32.38,Top,0.0
D3, 3.30,103.25,Top,90.0
D4, 8.89,32.38,Top,0.0
D5, 6.35,32.38,Top,0.0
J17,16.51,91.44,Top,270.0
R1, 3.81,29.21,Top,90.0
R2, 6.35,29.21,Top,90.0
R3, 8.89,29.21,Top,90.0
R4,24.13,103.76,Top,270.0
R5,55.37,94.74,Top,270.0
R6,20.32,90.17,Top,90.0
R7,20.32,87.25,Top,270.0
R8,22.23,95.25,Top,0.0
R9,24.13,106.05,Top,90.0
R10,55.37,92.20,Top,180.0
R11,53.34,92.20,Top,0.0
R12,12.07,26.67,Top,0.0
R13,22.23,97.16,Top,0.0
R14,29.85,84.45,Top,0.0
S1, 6.35,37.47,Top,180.0
S2, 8.26,102.87,Top,0.0
S3, 7.62,22.23,Top,0.0
U1,31.75,48.26,Top,0.0
U2,29.72,65.28,Top,0.0
U3,59.69,104.52,Top,0.0
U4,58.17,95.25,Top,90.0
U5,53.72,104.65,Top,0.0
U6,26.04,84.45,Top,180.0
